iso_code,continent,Country_Region,Lat,Long_,last_updated_date,Confirmed,new_cases,Deaths,new_deaths,new_tests,Tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,population,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty
AFG,Asia,Afghanistan,33.93911,67.709953,2021-09-17,154487,126,7186,3,,,,,,,,39835428,18.6,2.581,1.337,1803.987,
ALB,Europe,Albania,41.1533,20.1683,2021-09-17,161324,959,2569,6,,,,,1632986,911372,721614,2872934,38,13.188,8.643,11803.431,1.1
DZA,Africa,Algeria,28.0339,1.6596,2021-09-17,201224,235,5670,19,,,,,9989662,5815039,4174623,44616626,29.1,6.211,3.857,13913.839,0.5
AND,Europe,Andorra,42.5063,1.5218,2021-09-17,15124,11,130,0,,210856,0.034,29.1,,,,77354,,,,,
AGO,Africa,Angola,-11.2027,17.8739,2021-09-17,52208,381,1378,7,,,,,2469333,1510880,958453,33933611,16.8,2.405,1.362,5819.495,
ATG,North America,Antigua and Barbuda,17.0608,-61.7964,2021-09-17,2603,299,55,7,,,,,79922,43949,35973,98728,32.1,6.933,4.631,21490.943,
ARG,South America,Argentina,-38.4161,-63.6167,2021-09-17,5237159,2308,114286,185,22861,13699212,0.032,31.2,48310770,28929766,19398787,45605823,31.9,11.198,7.441,18933.907,0.6
ARM,Asia,Armenia,40.0691,45.0382,2021-09-17,252082,759,5101,26,5067,1633587,0.112,9,335721,215278,120443,2968128,35.7,11.232,7.571,8787.58,1.8
AUS,Oceania,Australia,-25,133,2021-09-17,84056,1856,1148,7,223818,34911907,0.009,117.5,24054063,14768715,9285348,25788217,37.9,15.504,10.129,44648.71,0.5
AUT,Europe,Austria,47.5162,14.5501,2021-09-17,720455,2364,10882,12,353847,81737713,0.006,165.4,10685286,5640345,5330472,9043072,44.4,19.202,13.748,45436.686,0.7
AZE,Asia,Azerbaijan,40.1431,47.5769,2021-09-17,467173,0,6227,0,12852,4702934,0.206,4.9,7806235,4570812,3235423,10223344,32.4,6.018,3.871,15847.419,
BHS,North America,Bahamas,25.025885,-78.035889,2021-09-17,20030,235,504,35,,,,,173130,105753,65915,396914,34.3,8.996,5.2,27717.847,
BHR,Asia,Bahrain,26.0275,50.55,2021-09-17,274107,66,1388,0,16656,6219122,0.005,208.2,2534296,1159989,1103361,1748295,32.4,2.372,1.387,43290.705,
BGD,Asia,Bangladesh,23.685,90.3563,2021-09-17,1540110,1907,27147,38,28615,9339121,0.068,14.7,35861843,21559401,14302442,166303494,27.5,5.098,3.262,3523.984,14.8
BRB,North America,Barbados,13.1939,-59.5432,2021-09-17,6358,110,57,3,,,,,221000,123950,97050,287708,39.8,14.952,9.473,16978.068,
BLR,Europe,f,53.7098,27.9534,2021-09-17,512460,1979,3978,12,18329,8118970,0.085,11.8,3206505,1751254,1455251,9442867,40.3,14.799,9.788,17167.967,
BEL,Europe,Belgium,50.8333,4.469936,2021-09-17,1219814,2341,25497,3,53640,19384396,0.048,20.8,16442235,8515499,8297278,11632334,41.8,18.571,12.849,42658.576,0.2
BLZ,North America,Belize,17.1899,-88.4976,2021-09-17,18532,198,389,0,,241828,0.116,8.6,275719,180196,95523,404915,25,3.853,2.279,7824.362,
BEN,Africa,Benin,9.3077,2.3158,2021-09-17,21450,0,146,0,,,,,174104,152669,,12451031,18.8,3.244,1.942,2064.236,49.6
BTN,Asia,Bhutan,27.5142,90.4336,2021-09-17,2596,0,3,0,1874,1125970,0,,1046117,567220,478897,779900,28.6,4.885,2.977,8708.597,1.5
BOL,South America,Bolivia,-16.2902,-63.5887,2021-09-17,496700,668,18648,32,6790,2371896,0.069,14.5,6347661,4161019,3017983,11832936,25.4,6.704,4.393,6885.829,7.1
BIH,Europe,Bosnia and Herzegovina,43.9159,17.6791,2021-09-17,225857,995,10203,42,3222,1185467,0.249,4,1060145,634063,426082,3263459,42.5,16.569,10.711,11713.895,0.2
BWA,Africa,Botswana,-22.3285,24.6849,2021-09-17,172252,0,2343,0,,,,,587595,365655,221940,2397240,25.8,3.941,2.242,15807.374,
BRA,South America,Brazil,-14.235,-51.9253,2021-09-17,21080219,11202,589573,327,,,,,218651740,145113195,78072189,213993441,33.5,8.552,5.06,14103.452,3.4
BRN,Asia,Brunei,4.5353,114.7277,2021-09-17,4814,139,24,1,,,,,385602,237015,148587,441532,32.4,4.591,2.382,71809.251,
BGR,Europe,Bulgaria,42.7339,25.4858,2021-09-17,480777,1892,19955,79,,4560069,0.073,13.7,2458928,,1272680,6896655,44.7,20.801,13.272,18563.307,1.5
BFA,Africa,Burkina Faso,12.2383,-1.5616,2021-09-17,14003,19,172,0,,,,,166160,166160,102268,21497097,17.6,2.409,1.358,1703.102,43.7
BDI,Africa,Burundi,-3.3731,29.9189,2021-09-17,14189,0,38,0,,,,,,,,12255429,17.5,2.562,1.504,702.225,71.7
KHM,Asia,Cambodia,11.55,104.9167,2021-09-17,102834,698,2089,11,,2289480,,,21612643,11608143,10114802,16946446,25.6,4.412,2.385,3645.07,
CMR,Africa,Cameroon,3.848,11.5021,2021-09-17,85414,0,1368,0,,,,,444521,363773,80748,27224262,18.8,3.165,1.919,3364.926,23.8
CAN,North America,Canada,60.001,-95.001,2021-09-17,1577335,5107,27421,44,108965,41861477,0.048,20.6,54934350,28629817,26304533,38067913,41.4,16.984,10.797,44017.591,0.5
CPV,Africa,Cape Verde,16.5388,-23.0418,2021-09-17,36970,79,327,0,1130,,,,368789,272501,94997,561901,25.7,4.46,3.437,6222.554,
CAF,Africa,Central African Republic,6.6111,20.9394,2021-09-17,11309,0,100,0,,,,,112492,102591,9901,4919987,18.3,3.655,2.251,661.24,
TCD,Africa,Chad,15.4542,18.7322,2021-09-17,5025,4,174,0,,,,,104707,86821,17886,16914985,16.7,2.486,1.446,1768.153,38.4
CHL,South America,Chile,-35.6751,-71.543,2021-09-17,1646403,583,37318,25,61697,20840102,0.009,108.6,30772997,14671991,14007210,19212362,35.4,11.087,6.938,22767.037,1.3
CHN,Asia,China,30.5928,114.3055,2021-09-17,95686,46,4636,0,,,,,2165679000,1095000000,1011584000,1444216102,38.7,10.641,5.929,15308.712,0.7
COL,South America,Colombia,4.5709,-74.2973,2021-09-17,4937596,1544,125826,44,55581,24864554,0.046,21.7,37830713,24733487,15902438,51265841,32.2,7.646,4.312,13254.949,4.5
COM,Africa,Comoros,-11.6455,43.3333,2021-09-17,4104,3,147,0,,,,,334369,174765,159604,888456,20.4,2.963,1.726,1413.89,18.1
